#Name    TICID
Kepler-1409b 267745858
Kepler-1410b 122450207
Kepler-1411b 158218591
Kepler-1412b 424815791
Kepler-1413b 270957896
Kepler-1414b 164828419
Kepler-1415b 164834500
Kepler-1416b 268160061
Kepler-1417b 122707371
Kepler-1418b 258202336
Kepler-1419b 137548281
Kepler-1420b 272184502
Kepler-1421b 399826842
Kepler-1422b 27009720
Kepler-1423b 121599740
Kepler-1424b 122706631
Kepler-1425b 271347291
Kepler-1426b 26656435
Kepler-1427b 271665352
Kepler-1428b 28234022
Kepler-1429b 279917996
Kepler-1430b 159105397
Kepler-1431b 26657021
Kepler-1432b 27532128
Kepler-1433b 399951196
Kepler-1434b 27534458
Kepler-1435b 159647919
Kepler-1436b 273378908
Kepler-1437b 26541175
Kepler-1438b 121946404
Kepler-1439b 120578712
Kepler-1440b 279917282
Kepler-1441b 270704515
Kepler-1442b 350811132
Kepler-1443b 164525743
Kepler-1444b 164886812
Kepler-1445b 351766604
Kepler-1446b 159050852
Kepler-1447b 416281317
Kepler-1448b 298834402
Kepler-1449b 298962633
Kepler-1450b 271162715
Kepler-1452b 137635103
Kepler-1453b 158175366
Kepler-1454b 267570002
Kepler-1455b 27014562
Kepler-1456b 158385035
Kepler-1457b 164646534
Kepler-1458b 258349285
Kepler-1459b 123448077
Kepler-1460b 352011765
Kepler-1461b 279915288
Kepler-1462b 272376022
Kepler-1463b 271051532
Kepler-1465b 416279965
Kepler-1466b 159178000
Kepler-1467b 271427581
Kepler-1470b 121733900
Kepler-1471b 416282121
Kepler-1472b 27239856
Kepler-1473b 290034635
Kepler-1474b 271255614
Kepler-1475b 271970692
Kepler-1476b 164727404
Kepler-1477b 123314844
Kepler-1478b 138097834
Kepler-1479b 377781254
Kepler-1481b 299219860
Kepler-1482b 279917678
Kepler-1483b 271752712
Kepler-1484b 137816475
Kepler-1485b 273690208
Kepler-1486b 159439931
Kepler-1487b 184015844
Kepler-1488b 399825584
Kepler-1489b 123312978
Kepler-1490b 271959909
Kepler-1491b 270617233
Kepler-1492b 121660826
Kepler-1493b 121656582
Kepler-1494b 123499226
Kepler-1495b 120764338
Kepler-1496b 270787590
Kepler-1497b 272275278
Kepler-1498b 164785771
Kepler-1499b 120105569
Kepler-15b 27774415
Kepler-1500b 121786521
Kepler-1501b 159216808
Kepler-1502b 184298883
Kepler-1503b 270705307
Kepler-1504b 416281986
Kepler-1505b 137408775
Kepler-1506b 122298422
Kepler-1507b 158786851
Kepler-1508b 170346081
Kepler-1509b 164558338
Kepler-1510b 416529246
Kepler-1511b 158725179
Kepler-1512b 158989438
Kepler-1513b 394177315
Kepler-1515b 417660218
Kepler-1516b 159763612
Kepler-1517b 158555987
Kepler-1518b 239289191
Kepler-1519b 351191596
Kepler-1520b 417679385
Kepler-1521b 137817355
Kepler-1522b 267673944
Kepler-1523b 272083995
Kepler-1525b 290033595
Kepler-1526b 120425617
Kepler-1527b 273132601
Kepler-1528b 158487658
Kepler-1529b 122137575
Kepler-1531b 120424814
Kepler-1532b 168812474
Kepler-1533b 271970605
Kepler-1534b 63285279
Kepler-1535b 120961712
Kepler-1536b 62999585
Kepler-1537b 271046907
Kepler-1538b 164522561
Kepler-1539b 164671591
Kepler-1541b 48353902
Kepler-1543b 272843289
Kepler-1544b 28090925
Kepler-1545b 268382450
Kepler-1546b 169466684
Kepler-1547b 164646094
Kepler-1548b 158487028
Kepler-1549b 120692095
Kepler-1550b 121395435
Kepler-1551b 184164411
Kepler-1552b 137319097
Kepler-1553b 351062058
Kepler-1554b 120900025
Kepler-1555b 158492133
Kepler-1556b 121603852
Kepler-1557b 270790313
Kepler-1558b 158322085
Kepler-1559b 63213956
Kepler-1560b 63373449
Kepler-1561b 272716728
Kepler-1562b 271040678
Kepler-1563b 299028607
Kepler-1564b 159395366
Kepler-1565b 170241112
Kepler-1566b 237191392
Kepler-1567b 121013472
Kepler-1568b 158984590
Kepler-1569b 137488218
Kepler-1570b 269270853
Kepler-1571b 185062313
Kepler-1572b 123413463
Kepler-1573b 26752863
Kepler-1574b 26583108
Kepler-1575b 270699185
Kepler-1576b 121865123
Kepler-1577b 240177285
Kepler-1578b 158662813
Kepler-1579b 275571034
Kepler-1580b 120688631
Kepler-1581b 121215710
Kepler-1582b 122065885
Kepler-1583b 158270841
Kepler-1584b 158556108
Kepler-1585b 272272564
Kepler-1586b 273866337
Kepler-1587b 26656768
Kepler-1588b 298965827
Kepler-1589b 377909767
Kepler-1590b 26416803
Kepler-1591b 272491028
Kepler-1592b 138364751
Kepler-1593b 239306899
Kepler-1594b 270695341
Kepler-1595b 279915521
Kepler-1596b 350813882
Kepler-1597b 158722002
Kepler-1598b 158730471
Kepler-1599b 120768052
Kepler-1600b 137151626
Kepler-1601b 120571308
Kepler-1603b 271537714
Kepler-1604b 351911398
Kepler-1605b 158394902
Kepler-1606b 158218731
Kepler-1607b 272179260
Kepler-1608b 184088195
Kepler-1609b 122302031
Kepler-1610b 272073436
Kepler-1611b 27846759
Kepler-1612b 159646633
Kepler-1613b 159180076
Kepler-1614b 48451562
Kepler-1615b 158217620
Kepler-1616b 158274583
Kepler-1617b 158625761
Kepler-1618b 271546110
Kepler-1619b 279913760
Kepler-1620b 273045068
Kepler-1621b 273238089
Kepler-1622b 273047792
Kepler-1624b 137683938
Kepler-1625b 184011870
Kepler-1626b 184559893
Kepler-1627b 120105470
Kepler-1628b 123362984
